Regi√£;C√≥digo da Unidade da Federa√ß;Sigla da Unidade da Federa√ß√;Nome da Unidade da Federa√ß√;Popula√ß√£o estimada de 202
1 - Norte;11;RO;Rond√¥ni;1.815.278
1 - Norte;12;AC;Acre;906.876
1 - Norte;13;AM;Amazonas;4.269.995
1 - Norte;14;RR;Roraima;652.713
1 - Norte;15;PA;Par√;8.777.124
1 - Norte;16;AP;Amap√;877.613
1 - Norte;17;TO;Tocantins;1.607.363
2 - Nordeste;21;MA;Maranh√£;7.153.262
2 - Nordeste;22;PI;Piau√;3.289.290
2 - Nordeste;23;CE;Cear√;9.240.580
2 - Nordeste;24;RN;Rio Grande do Norte;3.560.903
2 - Nordeste;25;PB;Para√≠b;4.059.905
2 - Nordeste;26;PE;Pernambuco;9.674.793
2 - Nordeste;27;AL;Alagoas;3.365.351
2 - Nordeste;28;SE;Sergipe;2.338.474
2 - Nordeste;29;BA;Bahia;14.985.284
3 - Sudeste;31;MG;Minas Gerais;21.411.923
3 - Sudeste;32;ES;Esp√≠rito Sant;4.108.508
3 - Sudeste;33;RJ;Rio de Janeiro;17.463.349
3 - Sudeste;35;SP;S√£o Paul;46.649.132
4 - Sul;41;PR;Paran√;11.597.484
4 - Sul;42;SC;Santa Catarina;7.338.473
4 - Sul;43;RS;Rio Grande do Sul;11.466.630
5 - Centro-Oeste;50;MS;Mato Grosso do Sul;2.839.188
5 - Centro-Oeste;51;MT;Mato Grosso;3.567.234
5 - Centro-Oeste;52;GO;Goi√°;7.206.589
5 - Centro-Oeste;53;DF;Distrito Federal;3.094.325
